date,time,open,high,low,close,volume
2013.10.24,00:00,1.38030,1.38230,1.37800,1.37993,8010
2013.10.25,00:00,1.37992,1.38320,1.37738,1.38066,14530
2013.10.28,00:00,1.38073,1.38164,1.37742,1.37822,8443
2013.10.29,00:00,1.37825,1.38122,1.37364,1.37464,25408
2013.10.30,00:00,1.37465,1.37842,1.36958,1.37218,53095
2013.10.31,00:00,1.37217,1.37385,1.35752,1.35877,59412
2013.11.01,00:00,1.35878,1.35893,1.34799,1.34886,68167
2013.11.04,00:00,1.34905,1.35241,1.34421,1.35122,50126
2013.11.05,00:00,1.35122,1.35221,1.34489,1.34721,37663
2013.11.06,00:00,1.34719,1.35472,1.34676,1.35143,28247
2013.11.07,00:00,1.35144,1.35285,1.32944,1.34136,32604
2013.11.08,00:00,1.34137,1.34376,1.33178,1.33661,39272
2013.11.11,00:00,1.33569,1.34160,1.33447,1.34066,38595
2013.11.12,00:00,1.34065,1.34559,1.33591,1.34346,54878
2013.11.13,00:00,1.34346,1.34973,1.33900,1.34817,54218
2013.11.14,00:00,1.34816,1.34940,1.34184,1.34586,49851
2013.11.15,00:00,1.34584,1.35050,1.34322,1.34948,49332
2013.11.18,00:00,1.34918,1.35415,1.34745,1.35034,46457
2013.11.19,00:00,1.35035,1.35470,1.34877,1.35354,57714
2013.11.20,00:00,1.35354,1.35779,1.34151,1.34388,77727
2013.11.21,00:00,1.34387,1.34863,1.33993,1.34754,76432
2013.11.22,00:00,1.34753,1.35568,1.34622,1.35568,50385
2013.11.25,00:00,1.35536,1.35599,1.34901,1.35220,57953
2013.11.26,00:00,1.35219,1.35747,1.35192,1.35666,62348
2013.11.27,00:00,1.35667,1.36126,1.35575,1.35778,53482
2013.11.28,00:00,1.35778,1.36181,1.35635,1.36028,48291
2013.11.29,00:00,1.36029,1.36214,1.35800,1.35897,61399
2013.12.02,00:00,1.35869,1.36152,1.35259,1.35383,43712
2013.12.03,00:00,1.35387,1.36135,1.35242,1.35885,56642
2013.12.04,00:00,1.35885,1.36052,1.35283,1.35896,64576
2013.12.05,00:00,1.35897,1.36771,1.35433,1.36723,79949
2013.12.06,00:00,1.36721,1.37062,1.36194,1.37044,67415
2013.12.09,00:00,1.37110,1.37460,1.36945,1.37360,22445
2013.12.10,00:00,1.37361,1.37949,1.37346,1.37595,27476
2013.12.11,00:00,1.37594,1.38107,1.37408,1.37867,27796
2013.12.12,00:00,1.37865,1.38032,1.37378,1.37501,34541
2013.12.13,00:00,1.37500,1.37693,1.37096,1.37369,28819
